utterance,hat
"Not too long.Cut a little off behind and on both sides , too .",green
"That's a black fraternity , right ? So we should see some dancing ! __eou__",green
"Yes , it will take about four hours . We can leave about noon and get there by supper time .",yellow
It ’ s nice to go home earlier once in a while . But now it ’ s the evening rush .,black
I'd like to buy a keepsake for my girlfriend . Could you make a recommendation for me ?,green
One that I recommend is that you lie on your back . You should have a weight in each hand and stretch your arms out side of your body .,green
I know for sure that something is wrong !,red
"Yes , I agree with you . __eou__",white
But I think this one fits me Well . Why don't you try on the sombrero in black ?,green
"Wow ! What a beautiful scenic spot ! It's so open . And just breathe that fresh air , you can almost taste its freshness .",black
"Oh , you don ’ t have to do that but it would be a great help .",green
Sure . I've even e-mailed some people who had bought from the person who sold this bag .,green
Anytime . You can reach me 5558929 .,yellow
Are you sure ? I don't want to inconvenience you .,yellow
"Dad , I'm scared .",red
Woo hoo ! This just might be the start of the rest of my life !,yellow
part of the motor is loose . I can put it back in place quite easily .,green
I wish everything in life was so simple . Thank you .,red
"Oh , thank you so much .",yellow
It's a surprise !,white
What is the direct impact of the terrorist attack upon your country's economy ?,black
You spoken English is pretty good . Please tell me your experience in learning English .,yellow
But many roads are very narrow .,white
"It's your turn , sir . I'm sorry that you've had to wait .",red
"Cut out , would you ? __eou__",white
"Yeah , what was all that stuff about running tests about anyway ?",white
Why don't you go talk to her and find out what her secret was this year . __eou__,black
What is your favorite computer game ?,white
Something hot and spicy . They look very inviting on the menu . You are going to love them .,yellow
"Mr . Wang , I want to apologize for being late again this morning . I just can't get up in time for work .",red
Ouch ! The water's too hot !,red
"yes , but it's so humiliating ! I don't want my friends to know I failed !",red
What a pity . It was quite exciting . Both teams played very well .,white
"Teachers are just directors who give scope to the students ' initiative and creativeness , instead of taking their rights away from speaking .",white
"He certainly looks interested , doesn ’ t he ? Shall we invite him over to our table ? __eou__",white
"Skim , please . That'd be very nice . Thanks ... oh no . Janna , I'm so sorry , but I've got to go .",red
"Maybe we can trade.Why don't you stay here and read for my exam , and I'll go drink beer ?",green
Me too . But anyway we hope he lives happily in the future . __eou__,white
wonderful ! I think that's a great idea . How soon until we can make this happen ? I can't wait !,white
Wonderful . I ’ m so excited . __eou__,yellow
Ok . I'll give it a try .,yellow
Autumn . Autumn is the best season in Beijing .,green
I'll see you there at 9pm .,yellow
I'm absolutely useless at cooking !,red
I just had a quarrel with him .,black
"Oh , no . That's bad news .",red
But he's really kind at heart .,green
I hope so . I'll make sure to get a small one so she can put it into her suitcase . I hope it won't cause her trouble at the border .,black
This is outrageous ! I'm never coming back to this hotel again !,red
"I see , and how about the documents and the information ?",white
"I can ’ t go through with this ! I just can ’ t ! I ’ m not ready for marriage ! What was I thinking ? I ’ m only thirty five years old ! I ’ Ve got my entire life ahead of me , adventures waiting ! I can ’ t settle down yet !",red
I always visit the places that I use as setting for stories . Readers like things to be as factually correct as possible-even in fiction ! I usually base my characters on people I have met . Most character are a mixture of the characters of two or more people .,black
"This one is of my wife and me on the beach , and this one is our daughter Emily standing next to my wife .",black
Helen gets on very well with her neighbours . I wouldn ’ t be surprised if they went to the party too .,yellow
"Hey , that sounds a good idea . __eou__",yellow
"oh , it seems that I'm the only one who never blogs . When did you get started ?",black
It will be a rock and roll band probably . He ’ s a very good guitarist .,green
Don't I have any rights ?,red
"No , no . I mean stealing vegetables on Internet is very popular now . Many white collars join in this game and have a lot of fun by stealing others ' vegetables .",black
I see . Another important question is the time I can get this car . I need a new car rather soon .,green
That will do . What an interesting picture ! How old is it ?,yellow
"Well , we could eat in more . That $ 300 for entertainment is mostly going to restaurants .",green
"Oh , it ’ s lovely . Think of the nasty weather we had last week .",white
Such a lovely girl . I hope my Paul is lucky enough to find a girl like that someday !,yellow
I ’ m very sorry . __eou__,red
I'm really happy that you came to visit me .,white
"Oh , it's so . She looks very lovely . Could you give me some else information on her ?",yellow
It's awfully quiet around here .,white
easier said than done .,black
I am sure you can do better than that .,green
"I'd like to , but the photocopier is out of order .",white
I haven't heard anything .,black
You're always so careless .,white
"Well , I ’ d better get back to work . I ’ Ve got a ton of stuff on my desk !",red
Well . I can't find my key now . I think I have lost it .,red
"Oh , come on ! An excuse like that is tantamount to lying . You ’ re essentially blaming the tech team for your time management issues , rather than accepting responsibility for the fact that you were procrastinating for the past two weeks .",red
Well I guess you have fewer characters but I think Chinese grammar is easier .,green
Are there any special events going on tomorrow ?,black
"Yes , I'd like to . It's my honor . Let's pick a song .",green
"Oh , it is coming to us , come on , Ben , get a banana to it .",green
"Yes . In 1996 I received my Bachelor of Science degree from Hebes University , and in 2001 I received my MBA degree from Peking University .",black
My advice would be to finish it at once . __eou__,green
"But some women do shake hands . And now a lot of children have such good manners , they shake hands too .",green
I am afraid not . Have you lost your passport ?,red
"Not necessarily . This is only what she says , not what she does .",green
I'm so happy . I don't have to worry about finding a job and interviewing anymore .,yellow
"Oh , my god . __eou__",red
"David , we have been doing business for three years , haven't we ?",black
Yeah . I'm lucky to be his wife .,yellow
"This sucks . I hate buying lingerie . Okay , just find something and get out of here . Alright , these are fine . Oh , no , don ’ t come over here , don ’ t come over here .",red
Do you have any plans for further study ?,white
Yes . I wrote a thesis entitled On Interpersonal Relations in the Socialist Market Economy and it was published in China Daily . __eou__,black
You wouldn ’ t dare do that ! __eou__,red
"Hmm . . . well , maybe we can buy this one then . __eou__",green
But I see things rather differently.The heroin is not attractive and her acting is just so-so .,white
Ha ! I'm just warming up ! Please take me there now ! __eou__,green
"To be honest , I care only about whether I can have some delicious candy eat . I couldn't care less about whether the shop is popular or not .",black
It wasn't a dirty movie . There wasn't even any nudity .,black
Congratulations ! __eou__,white
"Just as the saying goes , every potter praises his own pot . You should pay special attention to selling yourself properly in the interview .",black
"If that happens , maybe you could marry my brother and we could become in-laws !",yellow
I'd like to talk with you again about what happened .,black
I don't know . I failed my exam .,red
Listen to some music ? And who ’ ll cook dinner ? Will you ?,red
"Ok , well , we're going to make a pan of lasagne , a salad , and some garlic bread . Here's the recipe . Do you want to get the ingredients we need out of the cupboard ?",green
So have you ever been to the stamp display of the town ? __eou__,black
"it started off a bit slow , but now , business is really booming !",yellow
It's a wise thing to do . Art will do a child a world of good . __eou__,green
"I wish I could stay there , but unfortunately it will have to be a round trip ticket .",white
What ? How much do you know Hollywood ?,white
I love it when the weather is like this.Why don't we sit down outside and have our lunch ?,black
"Nigel Smith . Does he have your number , Mr . Smith ?",white
"Fine . I miss you so much , uncle Benjamin .",yellow
"Okay , so are you going to school tomorrow ?",white
That's a great idea . Show me the Barbie dolls .,green
It really depends on when and how long,white
This is my house.Let me show you around it .,yellow
"yeah.Oh , here it comes ! why don't we watch it together ? they are going to have a court debate in this episode . It should be good .",black
I'm not really sure about that . But I know we are still receiving resumes.Maybe after a week or two they will start calling applicants .,white
No way ! Please don't follow me around .,red
We have the orientation this afternoon .,white
That was a great party . Thanks for staying behind to help me clear up .,yellow
Let's switch the lights on .,yellow
what about taking her for a dinner or a movie ?,yellow
It's excellent .,yellow
Don't be scared.Bite the bullet and everything will be right again .,yellow
In Wimbledon - quite close to the tennis courts actually . Which is very nice because I love tennis .,black
There is no need to be so frustrated .,white
Don ’ t tell me what to do ! I ’ ll get to it when I get around to it !,red
When did you graduate ?,white
I'm going to paint the house today .,green
"As you know , my city is on the coast.the water is also not clean . But people still go swimming all year around . I prefer to sand bath on the beach when the weather is hot and sunning . __eou__",black
"These machines aren ’ t very difficult to use . In fact , I quite like them . They are much faster than dealing with a band clerk . __eou__",green
"Nice to meet you , Andrew . I am Noirin , Noirin O'Neil .",yellow
"oh , that sounds wonderful . I have always known you two would make it . I hope I can keep in better contact with you guys . I don't want us to drift apart again .",yellow
Pleasure is mine.Here ' s my card .,yellow
8 it is . See you then .,yellow
I really need more information about the job before we start to discuss salary . I'd like to postpone that discussion until later . Maybe you could tell me what is budgeted for the position and how your commission structure works . __eou__,black
"yeah , after receiving my yearly bouns , I want to search out better opportunities in the spring job market . I've been working in the company for nearly a year and a half and I still haven't received",black
Sounds good . See you there ! __eou__,white
13.50 ?,white
His excuse was familiar . He said his car died again .,red
I had a bad day yesterday .,red
"My birthday present ? I can't help telling you that I am a happy woman , darling . I will come back soon . ( Go to her bedroom and wear the new dress , then show it to Steven . )",green
But what's a movie without munchies ?,green
I've just got Bean's new brand image . Let's make a T-shirt line with these pics .,green
How do you get along with them ?,black
"really ? I never would have guessed . The criminals must only come out in the evenings , because I've never noticed anything strange when I've been at your house in the daytime .",black
Great ! Who's the bridegroom ?,white
Very much.New York is such a nice place.Shall I show you some photographs ?,yellow
"I want to go to Shanghai , but I also want to visit Hainan .",white
that's thoughtful of you .,white
You're going to do great . And you're going to look great .,yellow
I didn't know I needed change .,green
You look so happy . I see a twinkle in your eyes .,yellow
No Let's go to an ice cream parlor ! They have way more flavors to choose from there . I feel like having something special like Neapolitan ice cream .,green
this is Nathaniel Brown .,white
Thank you . Today I'm writing a kind of poem called a Chinese couplet .,yellow
To hell with you . The accident was your fault .,red
"Good.That is the kind of man we are looking for.By the way , do you like traveling ? Our sales representatives need to travel a lot .",white
"I ’ m glad . We have only about twenty things here , and I ’ m in a hurry to get home . __eou__",yellow
I was wondering if you guys also tailor clothes ?,green
"I understand , and I am very sorry .",red
"Thanks for the advice , Mr . Macmillan . I'll keep it in mind . I had better head off though . I ’ m meeting my husband for dinner .",white
I love that dish as well . It is coconut chicken with rice .,red
"Look , is that Tom ? __eou__",white
"I apologize , and I'll make sure he doesn't do that again .",red
"Great . I hung out with Jo all day shopping , and the went out for dinner together .",black
The results of the poll show Bill Clinton's approval rating has gone up in his second term . Do you find that interesting ?,white
"Although I am a little shocked , I can deal with it pretty well . I didn't perform as well as I should have in the interview .",red
We've got several kinds . All are made of different materials .,green
"Man , I ’ m freaking out ! You gotta help me !",red
OK ! What about taking them outside and flying a kite .,green
Thanks for coming ! We should meet again sometime soon .,white
"I ’ d have one guest bathroom in the basement , one attached to the main bedroom , and one upstairs , so a total of three .",green
So when did this happen ?,black
Perfect . Couldn't be better !,yellow
"What a mess , Jack !",red
"Here is the thing . I was woke up by strange noises of the telephone several times last night . Even I unplugged it , it wouldn't stop beeping . I am also not satisfied with the housekeeping service in my room . So I want to change to a cleaner and quieter room .",red
"Oh baby , I ’ m so sorry . __eou__",yellow
that ’ s fantastic . I ’ m going to go try that out in my room now . good night !,yellow
"The carpet needs to be cleaned , and I want to paint the walls a different color .",green
"Yes , I know that.Derek just led me through the warm up in the aerobics room.So I'm ready , I think . I can start using the machines .",black
"That would be great ! Actually , can I get your phone number , Ella ? That ’ s assuming you don ’ t mind if I call you sometime .",yellow
Thank you . Where is your key ?,yellow
good luck ! __eou__,white
"Yeah , child is the matter . Don't tell Jenny the truth , only tell her the white lie . When she grows up , you find the suitable opportunity to tell her .",black
"Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ?",green
"Well.Don ' t worry about it , I will be happy to share the taxi with you . __eou__",green
"Ah , my girlfriend wanted to see that movie . I have to take her later so I don't want to watch it ahead of time . How about The Cube ?",black
"We use a vacuum cleaner that removes all the dirt , and we throw away all of the trash that we can find .",green
I see . And the quantities .,white
"Alright , the puck is back in play now . Pavel Bure is on a breakaway ! He is flying down the ice ! The defenders can ’ t keep up ! Slap shot ! He scores .",yellow
Is there anything I can do ?,black
I've created a monster ... you're a better bayer than me ! __eou__,red
Don ’ t do this ! Don ’ t do that ! You mustn ’ t do this ! You can ’ t do that !,red
"Well , you know how important a clean house is to your grandma .",green
That would work out great ! Why don't we call and get a reservation ? __eou__,yellow
It ’ s unfair .,red
And will I go up to the front to have the bread and wine ?,black
"You should also state that you are his class president , so you are qualified to write this recommendation letter",white
You ’ Ve got to be kidding me ! You ’ re complaining about me talking on the phone when you go out for a cigarette break ten times a day to shoot the breeze ?,red
You stink !,red
"You're going to have to tell them what to do in church , what everything means ...",green
That's all right . Please ask me if you don't know how to do something next time . You can keep the silk dress if you don't mind . I think it fits you .,green
Like creating a sepia tone look and some special effects such as fades and dissolves .,yellow
Could you help me figure out why I am missing my unemployment check for this week ?,black
Do you have any suggestions ?,green
"Well , it'll take three weeks to demolish the old building and clear away the debris . We should be ready to start the construction work in week 23 .",black
"Unfortunately , our company is shutting down due to the economy .",white
the air quality in this city is horrendous ! The pollution levels were so high that we weren't supposed to go outside with a face mask again !,red
Good thinking ! We should also print some leaflets for students to distribute .,yellow
You should always remember that one customer on file is the rule . __eou__,white
It seems that a lot of wars nowadays are really civil wars . People from different ethnic groups in the same country sometimes fight for power in that country .,black
"That ’ s because in the 16th and 17th century , there was a series of religious reforms in England . Many religious separatists were persecuted and fled to other countries .",green
My washing machine isn't working .,red
What about tonight ? Do you have plans tonight ?,white
"Oh , I see how this food can be really hard for you . I can sympathize with that . I stayed in Sichuan for a year . The food was difficult at the beginning . Every dish was so spicy . After a while though , I got used to the taste , and now I won't consider anything a real dish if it isn't spicy .",green
You know the sales figure shows that the prediction has not achieved .,white
Is there anything else that I should pay attention to in an interview ?,black
How are you finding your new boss ?,black
We surely believe you .,white
OK . Let me have a try ...,green
How wonderful it is to be in love ! It's love at first sight ! Oh . he's my Romeo !,yellow
Is everything ready for the Christmas party ?,black
I have been working 70 hours this week . I am totally maxed out .,white
"I think that we could also produce some merchandise for the centenary-you know , T-shirts , mugs , plates , pens , and things like that .",green
have a look outside for me . Does that look like hail to you ?,black
Maybe . But it still gets on my nerves . __eou__,red
"I'm so sorry about your brother , Mr . Wang .",red
Let's just get both . Do you bring enough money ?,green
Could I have a look at it first ?,green
"It's kind of cool , isn't it ? I'm sort of like a secret agent . __eou__",white
I can terminate my life insurance policy when I retire and use the money as a pension .,green
"It looks pretty frightening . He doesn't have any lips , so all you can see are his gums and teeth . Most of his nose and chin are missing too .",black
"Hey , Tom , I want to learn how to play golf .",yellow
"I'm serious , Zina . Back off . I have a bottle of pepper spray in my pocket .",red
"I don ’ t know . I don ’ t mind coming out here for a while , but that will get old pretty soon .",black
We'd like to invite you over for dinner this Friday evening . Can you come ?,yellow
I'm afraid there isn't . __eou__,red
Not at all . I am pleased to tell you these . __eou__,yellow
I may just do that .,green
"Sorry , our prices are set . __eou__",red
It is impossible . You cheated on me .,red
Thanks . Sometimes talking with a friend is a great way to get over something . Do you mind if I vent a little bit ?,red
Come on . I'll introduce you two . __eou__,yellow
Of course . This product moisturizes at the same time .,green
"Yeah , yeah , I know what I selected . Just give me my money !",red
I got a job offer from Dell .,yellow
I've got no kite . Do you have one ?,white
"Well , I do feel quite down because I am going to miss Japan after being here for 9 months , in Japan . I am going to miss it so much , cause I've had a great time here .",red
"I wanted to , but I knew that if I spoke to her , I'd just blow up at her , so I decided to just go home . I called her later that the night , but she didn't answer the phone .",red
Come on . It ’ s no trouble at all .,yellow
I ’ Ve got some bad news . All the plans sent over to the McGrath Corporation have been rejected . We ’ re going to have to start from scratch .,red
"Even you can bargain with the owner of one on-line store , although he or she provides ' But It Now ' prices .",green
Here we go . There is a museum of the Beijing Opera art . ( They come to the museum of the Beijing Opera art . ),white
I am sorry . I am very tired . I'm going to bed early .,red
"English and computer skills are comparatively important to this position , especially in the starting period . What ’ s your ability in these two fields ?",white
You speak English very well .,yellow
Would you mind if I helped out in the kitchen instead ? I do enjoy cooking .,green
Here is a guiding plan . __eou__,yellow
"Oh , I'm sorry . I didn't see the stop sign at the corner . I didn't mean it .",red
"Generally speaking , he needs creativity , the ability to communicate , sense of personal responsibilities , the ability to solve problems and so on .",black
I usually do housework in mornings . I go shopping occasionally . I like to do all my shopping in one bag trip to the supermarket . I always drive to the big supermarket in the city center . It takes about,black
Oh I ’ m enjoying myself but it ’ s so hot here,yellow
"That's exactly what I want , thank you . __eou__",yellow
"Oh , yes . Marvelous ! __eou__",yellow
How can we do that ?,yellow
I am not interested in trying this restaurant again . __eou__,red
"Oh my gosh ! Your hair is amazing ! So silky , so shiny ! I am going to work my magic on your hair ! You hear me ? You are going to look like a million bucks !",yellow
If you think that she is not fair with your work then you should talk to her in person instead of stewing over it . __eou__,red
When can we expect you and your daughter for dinner ? Next Saturday ?,white
"Well , I mean.We always do the same thing.There ' s no variety in our lives .",black
That's great ! I love to dance to fast music .,yellow
That would be great ! I hate working with computers !,white
He appeals to the fans thanks to two things,white
Alright . That's a good idea .,yellow
Hello ! We ’ Ve been waiting for our lunch order for over an hour . Did you forget our order ?,red
It's a pleasure . Come on . I'm on your side . __eou__,yellow
It's not just for your drinking . But you are lacking sense of responsibility .,red
Maybe he is busy with his work . Just wait and try not to think about it too much !,black
"It's your turn , sir . I'm sorry that you had to wait . Saturday is a busy day for us .",red
"Some restaurants allow you to take your own wine and just charge you corkage , but the don ’ t do that at “ ginger ’ s ” . what was included in the seafood buffet ?",white
They're neat . Now Let's take that path into the woods and see what we can see ... __eou__,yellow
"Yes , a low fever . I feel terrible . Am I dying ?",red
The tapping of your pen on your desk . It ’ s driving me crazy .,red
Good ! Have you got the recruitment information on marketing ?,white
Oh I still haven ’ t managed to get any tickets . I ’ d love to see something though .,white
How about ten o'clock tomorrow ?,black
Is there anything I should do ?,white
Just plug in a peripheral CD or floppy drive and you're ready to go ! __eou__,yellow
"Jessica is going back to Holland next week . I've been thinking a lot about what to give her as a parting gift , but I still have no clue .",yellow
Okay . I'll pick you up at 6:00 .,yellow
Great . Where can I get an application form ?,yellow
"Am . Well , can I have a try of the sample free of charge ?",white
"Morning , Mike .",white
"Gorgeous ! There is another song combining Chinese and western music styles . I am crazy for it , so I hear it over and again . And I plan to make it as the ringbone of my mobile .",yellow
"Mike , what are you doing tonight ?",white
I simply can't bear your barbaric behavior .,red
Can I get you some punch ? I was just going to go get myself some .,white
It definitely is a nice change from the polluted and crowded city .,black
"I don't feel like going out tonight , I am way too tired . I miss you , sweetheart .",white
So we can get down to business . __eou__,yellow
So when did all this happen ?,black
Then let me take you out to dinner to celebrate . __eou__,yellow
Excuse me . I wonder if you can help me .,green
What do you like to do in your spare time ?,black
"They sell pieces of fried chicken , you've got to try one this time .",green
I can see digital video products are quickly going mainstream with their plunging price .,yellow
I know . And you can also hear outside noises while you listen to music .,yellow
"I think the government fined him a small amount , and he kept the rest in his foreign bank accounts . He ’ s still a millionaire .",red
"Well , he made quite a few mistakes on the monthly report and when his supervisor found them , my manager blamed them on me !",red
How nice of him ! I'll be delighted to go . But what time would be convenient ?,white
It's a great idea . I can't believe I didn't think of this earlier . Going on a diet with a friend to back you up is a great way to succeed .,green
"I think the government needs a radical plan to improve things . The government just talks , but in the long run , nothing is done to improve the economy .",black
I pressed the emergency button ! And then I stayed in the elevator waiting for the rescue .,red
"No , I don ’ t . I go on a winter holiday instead . I go somewhere warm .",black
"I would suggest roast beef , sir .",green
We ’ re in the same boat ! I ’ Ve eaten fast food the whole week . I hate it now .,red
Sure . Here you are . This one is excellent . Just mix one drop of it with milk .,green
"Well , you asked for it . Why don't you put on an Elvis song for him . He loves "" The King . """,green
"Well . As our sole agency , you will neither handle the same or similar products of other origins nor re-export our goods to any other area outside your own .",black
We could always wait for the next bus to come . __eou__,green
"We're considering of ordering 200 computers , but I'm wondering about the price you'll possibly offer .",white
That is all right . Maybe we can make another arrangement .,black
Why are there still so many people overweight despite the current fitness craze ?,white
"Good , I can see the library on the map .",yellow
"Oh , good . If you could come around six thirty or seven o'clock , that would give us some time to chat a whit over a glass of wine before dinner .",yellow
That ’ s all right . Everyone feels under the weather sometimes . Just finish the rest when you feel well . __eou__,white
Maybe you haven't found the magic .,black
"That's good to know . Oh , listen ! The band's playing our song .",yellow
"No , I don't like museums . They're boring .",black
Perhaps it ’ s in your other pocket .,green
What kind of personal information ?,white
"NYU was my first choice , but UCLA is just fine .",green
The meeting was delayed by thirty minutes and it lasted for two and a half hours .,black
"Actually , the business trip itself was very successful . We arrived on time , we had nice conversations and we settled some important issues for the next year .",black
"I suppose you're right . They also used to think that they were so important that the sun revolved around them , not the other way around .",black
The Cranberries . I love their music . How about you ? Do you like them ?,white
"I didn't do well in last exams . If my father knows it , he will beat me up .",red
Do friends of the bride always sit on one side of the church and friends of the groom on the other ?,black
"I'd like to offer you my congratulations on your birthday and best wishes for your future happiness , good health and continued success . I've asked the Fairy Flowers to send you a bunch of flowers . I hope you'll like them .",yellow
"Yeah ! Where there is a will , there is a way . __eou__",yellow
When did it become CABS ?,white
It was ! But the worst thing was I tore my best shirt .,red
I am really looking forward to getting away from you . Far away from you ! __eou__,red
"Well , dear , we can't force him to go to college . It's up to him .",green
"Oh , no !",red
Shall we keep pur friendship ?,red
"Yes , she ’ ll be working closely with you on the marketing end of things .",white
"Yes , he is . He ’ s very hardworking when he ’ s at school . Then he comes home from school and does homework before dinner . After dinner , he goes out with his friends .",black
"Sorry , I can ’ t ! I have to go to work , pick up Jake and Maddie from school , and make them an afternoon snack , then take Jake to soccer practice and Maddie to dance class .",red
Tell him I hope he's better soon .,yellow
Could I have look at that pair of canvas shoes ? They look nice . __eou__,green
"You've got everyone figured out , don't you ?",black
What makes you say that ?,white
Yes ! Let ’ s go sailing and water skiing . That ’ s so exciting .,yellow
I do it every once in a while .,black
That is easy . You can go directly to Tai'an city and buy a ticket to Mount Tai . __eou__,white
Just alive ? I guess you are some lucky guy . I heard you are going out with Jane .,white
"Hmm . Well , we have some alternatives , if you're interested .",green
You mean that I won't get a raise until the recession ends ?,red
Tim ’ s smiles are interesting .,yellow
I wonder what it ’ s going to be like tomorrow .,white
has anything else happened to you ?,black
no problem . I'm really looking forward to the coming week .,black
This is a pity ! __eou__,red
I love ice cream .,white
That's quite good . Thank you for telling me about those . __eou__,yellow
"I like Business Management , and i think it's very useful for the present work .",white
I'll be back in a sec .,yellow
I am still young . And I'm growing every minute .,green
That's rock and roll with fast tempo .,yellow
"Oh , there are many Chinese antique stores . They get paintings , too . Do you get interested in them ?",green
Do you know that I fell in love with you at the first sight then ?,yellow
It was a foreign film called ' Gone with the wind ' .,black
Let's take a cab . __eou__,green
Is it cold in autumn there ? Should I take any warm clothes with me ?,black
But there's no hot water after 10 at night . Sometimes I like to have a hot shower before bed . especially in the winter . It feels good .,green
Maybe 500 dollars .,white
Something made in the ' 20s would be nice .,green
"Well , black people are supposed to be great dancers .",yellow
"Oh , no , I'm afraid not . These things are just too old to guarantee anything .",red
I have three years of teaching ESL and four years of teaching per-school children .,black
"No , it's also necessary to list a few related interests that are in some way connected to the jobs you want to take .",black
What about cab drivers and porters ?,green
"Of course they do.You know , Eliza , before I went over there I thought the same thing . I thought that maybe kids in Taiwan study too much.But now that I've worked there , and taught them , I feel it is a good thing.Their parents are very concerned about their education . More than American parents are . And that is good . American kids don't study enough .",black
"Yes , take your time , please .",green
"Is that you , Dave ? Oh , my gosh ! The backstabber who left us to work for the evil WebTracker !",yellow
"Honey , please forgive me . There is lots of work to do . So , I forget your birthday .",red
"Right this way , Mr . Mason . We can start with our front office . When Ms . Terry is ready , you may take the elevator at the front to the 6th floor.There is a conference room already prepared . __eou__",black
"Oh , they are playing the wedding March . Here they come .",yellow
"He is five years older than me , He got married last Sunday.My brother and my sister-in-law are the same age . __eou__",black
No . But I write to them often .,white
What do you do in order to improve your English ?,green
"right now , there are three bedrooms , two barrooms , a kitchen , a sitting room , a dining room , and a living room . We're hoping to add on a green room and a guest bedroom . In fact , when the guest room i",green
"Well , that's easy . Walk up to him and kiss him .",yellow
"What about Mao Tai , one of the most famous liquors in China ? It's good indeed . It never goes to the head .",green
How can we get there ?,yellow
"Thanks . Now , I have to find a job .",yellow
That Italian restaurant in the city centre always has large portions . Do you want to go there ?,black
"Yes , that's exactly the bug I got . Though , I do kind of like the pictures .",white
"Yes , I agree . We can see the scenery better . In a bus , all you see are the roads .",green
Could you do something to advance your time of shipment ?,green
Working at weekend is something I hate to do most .,red
"It is so popular among people to preserve health now , so I read some books about health food .",green
"Oh , I see .",white
but we've done that many times . We want something fresh this time .,white
"Well , the website handles a point system where if the seller does something wrong , people comment negatively and then you know that he or she may not be trustworthy .",green
What a pity ! I missed it again .,red
How about the Korean restaurant next to it ?,black
I can ’ t believe it . I guess I ’ ll be here until 10 again tonight . __eou__,red
"Oh , that will be great . Thank you so much . Please help me to double-check the name list . I have to make sure they are all correct .",black
"then what about tea ? We need to bear in mind in the first place that tea , rather than coffee , has been the most popular drink for the Chinese people .",green
Have you gotten any interviews yet ?,black
"I see . Look , do you know what that emblem means ? I've seen it so many times , but I don't know what it stands for .",green
"Hey , wouldn't it be great if we could go to Thailand together sometime ?",yellow
We can hold them until one day before the show .,yellow
You may check out books or videos .,green
A foot massage sounds like a great idea . They are very relaxing . I ’ d also like to have a mudpack on my face . It ’ s supposed to help with your complexion .,yellow
"I like a family composed of many people . It includes grandparents , parents , aunts and uncles , and children .",black
"Oh , ISEE . So factory tours are good for companies as well as visitors .",white
I think dimes and quarters will do . __eou__,green
Good . Tonight 8 o'clock .,yellow
"Cindy , how come nearly all the prime-time TV shows are comedies ?",white
"Let me go to school , please ! I'm sick of medicine , sick of soup , and sick of being sick ! __eou__",red
You can take a bird-eye view at the glorious picture when you arrive at the top of the mountain .,black
Of course . I spent so much time at my old workplace that I got to know them all very well . They were like family to me .,black
Let's stop it at Multicolor for a quick lunch ..,green
Harris and Anne are perfect for each other .,yellow
That ’ s understandable . Every kid likes new clothes .,green
"I understand that , but you'd feel better if you took a break , even for just a short while . __eou__",white
"Of course we need a house inspector . But we can hire an inspector on our own . As for the legal problems , I have friends . They can help us .",green
Hmm . I think I should ask some of my friends for advice before I make a decision . I'm sorry .,red
Of course . We both experienced a good cooperation .,white
"Yes , I nearly didn't sleep last night .",black
OK . Bye .,yellow
"It's hard to be optimistic about things with the way the economy's headed ... The trade deficit is getting larger , consumption's down , I really think we're headed for a recession .",white
"that's quite a bit . If I give you a raise , I'm going to have to give everyone a raise .",white
I intend to stay at home for the whole seven days and have a good rest . __eou__,black
"Because the company is far away from home , and I have to study after work so I can't afford to waste time on the road everyday . __eou__",black
"I just can't help it . Oh , look at Clive , he is really a big hit . They are definitely gonna win .",black
We don't get along well with each other and fight a lot .,black
"Quite well , thank you .",yellow
"That's the beauty of it , and the danger .",green
"Look , traffic jam again ! __eou__",red
"Why not ? Our cannedlichee and canned provisions have already been widely sold in various markets abroad , and the Ma Ling Label has now been accepted by most of overseas customers and importers . Is it quite impossible for you to use the Ma Ling labels as they are ?",green
"Yes , I finally have an inspiration .",green
"Hi , Sarah . The results of questionnaire have come out . We need to discuss it together then write a research report .",black
How about some Zongzi ?,green
I ’ m glad they ’ re coming in August . Maybe Greg and I can play some golf or get tickets to a baseball game .,yellow
I've been waiting here in the conference room for ten minutes already . What time does our meeting start ? Where is everyone anyway ?,black
"Sure . It ’ s indeed a culinary heaven which offers a wide range of delicious snacks to satisfy all tastes . Then , which one would you like ?",green
How did you find him at last ?,black
I don ’ t think they are right . I have tried my best and that's enough . It is unfair that they are always saying these thing . Sometimes I even feel deeply hurt . __eou__,red
"I have it on highest authority that this traditional secret recipe has been handed down in the Granger family for generations . I ’ m sure you can keep a secret.Buttermilk , cacao beans , sugar and Haggis .",black
I am calling to ask about the position of an usher .,white
"Well , I also have ... __eou__",green
How long have you been in China ?,white
Let ’ s see ... “ Wanted,green
"Your idea may be a good one , but the trouble is that there are risks of pilferage or damage to the goods during transshipment at Hong Kong . How about shipping them from Seattle instead of network ? You may choose either one as port of shipment . It makes no difference to us . There are more sailings from Seattle than from New York .",green
You can ask the teacher for help .,green
I don't know . The weatherman didn't say anything about this in his weather report last night .,black
"Actually , what bothers me is the violence . There are far too many detective and police shows .",red
"Because it hasn't been copyrighted . We want to get some protection for it.But while we wait for copyright , we are investigating companies to produce the products .",black
I think you have a very good chance of getting a visa . I can help you prepare for the visa interview if you want .,green
"ordering a lot of food at restaurants is just a tradition in China . You know , in the past , people could not afford to eat out like they can today .",green
How's the weather today ?,black
